Date,Close
2024-03-27,172.6852
2024-03-28,170.8618
2024-04-01,169.4170
2024-04-02,168.2313
2024-04-03,169.0383
2024-04-04,168.2114
2024-04-05,168.9686
2024-04-08,167.8427
2024-04-09,169.0583
2024-04-10,167.1751
2024-04-11,174.4089
2024-04-12,175.9135
2024-04-15,172.0674
2024-04-16,168.7693
2024-04-17,167.3943
2024-04-18,166.4377
2024-04-19,164.4051
2024-04-22,165.2421
2024-04-23,166.2983
2024-04-24,168.4106
2024-04-25,169.2775
2024-04-26,168.6896
2024-04-29,172.8745
2024-04-30,169.7159
2024-05-01,168.6896
2024-05-02,172.4062
2024-05-03,182.7189
2024-05-06,181.0549
2024-05-07,181.7424
2024-05-08,182.0812
2024-05-09,183.9046
2024-05-10,182.6374
2024-05-13,185.8602
2024-05-14,187.0076
2024-05-15,189.2924
2024-05-16,189.4121
2024-05-17,189.4421
2024-05-20,190.6094
2024-05-21,191.9165
2024-05-22,190.4697
2024-05-23,186.4588
2024-05-24,189.5518
2024-05-28,189.5618
2024-05-29,189.8611
2024-05-30,190.8589
2024-05-31,191.8167
2024-06-03,193.5927
2024-06-04,193.9120
2024-06-05,195.4285
2024-06-06,194.0417
2024-06-07,196.4462
2024-06-10,192.6847
2024-06-11,206.6831
2024-06-12,212.5898
2024-06-13,213.7571
2024-06-14,212.0111
2024-06-17,216.1817
2024-06-18,213.8070
2024-06-20,209.2074
2024-06-21,207.0224
2024-06-24,207.6709
2024-06-25,208.5988
2024-06-26,212.7694
2024-06-27,213.6175
2024-06-28,210.1453
2024-07-01,216.2615
2024-07-02,219.7735
2024-07-03,221.0507
2024-07-05,225.8298
2024-07-08,227.3065
2024-07-09,228.1646
2024-07-10,232.4549
2024-07-11,227.0571
2024-07-12,230.0204
2024-07-15,233.8717
2024-07-16,234.2908
2024-07-17,228.3641
2024-07-18,223.6747
2024-07-19,223.8044
2024-07-22,223.4552
2024-07-23,224.5029
2024-07-24,218.0474
2024-07-25,216.9998
2024-07-26,217.4688
2024-07-29,217.7481
2024-07-30,218.3069
2024-07-31,221.5795
2024-08-01,217.8678
2024-08-02,219.3645
2024-08-05,208.7983
2024-08-06,206.7629
2024-08-07,209.3471
2024-08-08,212.8292
2024-08-09,215.7526
2024-08-12,217.2909
